Text Analysis for files: cleanup.eg, tiny.txt, tiny.txt

word                 frequency
observation                  4
observe                      6
observed                    16
observer                     2
observing                    4
obstinacy                    2
obvious                      8
obviously                    2
occasion                     6
occasionally                 6
occupant                     2
occupation                   2
occupations                  2
occupied                     2
occur                        4
october                      2
odessa                       2
of                         952
off                         22
office                      18
officers                     2
offices                      8
official                     6
often                       12
oh                          24
old                         12
ominous                      4
omne                         2
on                         136
once                        32
one                        112
one's                        2
only                        44
open                        28
opened                      10
opening                      6
opera                        2
operatic                     2
opinion                      2
oppressed                    2
oppressively                 2
opulence                     2
or                          94
orange                       6
order                        8
ordered                      2
orders                       2
ordinary                     4
ormstein                     4
ornament                     2
orphanage                    2
ostlers                      4
other                       60
others                       4
otherwise                    2
ought                        2
our                         72
ourselves                    8
out                        110
outlined                     2
output                       4
outside                      6
outward                      2
over                        50
over-bright                  2
over-clean                   2
over-precipitance              2
overcoat                     2
overpowering                 2
overtopped                   2
own                         50
oxford                       4
p                            4
paced                        6
pacing                       4
pack                         2
packed                       2
packet                       2
paid                         2
pain                         2
paint                        4
pair                         6
pal                          4
pale                         2
palm                         4
panel                        4
paper                       24
paper-mills                  2
papers                       4
papier                       2
paragraphs                   2
parallel                     2
park                         4
part                        20
parted                       2
particularly                 4
particulars                  2
partie                       2
partner                      2
parts                        2
party                        2
pass                         2
passage                     10
passed                       6
passing                      4
passions                     2
past                        12
patch                        2
patient                      2
patients                     2
paul's                       2
paused                       4
pavement                    10
pawnbroker                   4
pawnbroker's                 8
pay                         14
pay-day                      2
pea-jacket                   2
peace                        2
peculiar                    10
peculiarly                   2
pedestrians                  2
peeped                       2
peering                      2
pennsylvania                 2
penny                        2
pens                         2
pensioners                   2
people                       8
perceive                     2
perch                        2
perched                      2
perfect                      4
perfectly                    6
performer                    2
perhaps                     10
permission                   2
person                      12
personally                   4
persuaded                    2
peter                        2
photograph                  42
photography                  4
pick                         2
picture                      2
pictured                     2
pictures                     2
piece                        2
pierced                      4
piled                        2
piling                       2
pinch                        2
pink                         2
pink-tinted                  2
pipe                         6
pips                         2
pistol                       2
pitch                        6
piteous                      2
pity                         4
place                       10
placed                       4
plain                        2
plainly                      2
plan                         4
planet                       2
planked                      2
plans                        6
planted                      2
play                        10
playing                      6
plays                        2
please                      10
pleased                      2
pleasure                     4
plumber's                    2
plunged                      2
plunging                     2
pocket                      12
pockets                      4
poetic                       2
point                       14
points                       2
poky                         2
police                       6
police-station               2
political                    2
pompous                      2
pooh                         4
poor                         6
pope's                       6
portly                       2
position                    12
positions                    2
positive                     4
possess                      2
possibility                  4
